0.0,0.0000000.0,0.0,
0.1405520.0,0.0869160.0,0.0951120.0,
0.1387630.0,0.0932520.0,0.0858960.0,
0.1368420.0,0.0942480.0,0.0859430.0,
0.1346890.0,0.0710220.0,0.1047880.0,
0.1333850.0,0.0818190.0,0.0960040.0,
0.1321200.0,0.0780610.0,0.0983710.0,
0.1264260.0,0.1017230.0,0.0666200.0,
0.1259050.0,0.0968000.0,0.0716320.0,
0.1272930.0,0.0767190.0,0.0933580.0,
0.1237470.0,0.0816650.0,0.0835520.0,
0.1203990.0,0.0822510.0,0.0799690.0,
0.1195040.0,0.0939440.0,0.0680510.0,
0.1165390.0,0.0867560.0,0.0727090.0,
0.1167580.0,0.0761790.0,0.0829110.0,
0.1194330.0,0.0697720.0,0.0904770.0,
0.1177410.0,0.0744750.0,0.0858840.0,
0.1113320.0,0.0734800.0,0.0790760.0,
0.1114010.0,0.0711610.0,0.0801270.0,
0.1160550.0,0.0615850.0,0.0946110.0,
0.1097960.0,0.0647440.0,0.0836210.0,
0.1078080.0,0.0649530.0,0.0822370.0,
0.1169470.0,0.0480760.0,0.1093780.0,
0.1178840.0,0.0447070.0,0.1131610.0,
0.1237340.0,0.0395830.0,0.1221540.0,
0.1247770.0,0.0345680.0,0.1284000.0,
0.1215850.0,0.0332430.0,0.1245020.0,
0.1261220.0,0.0272020.0,0.1397850.0,
0.1240240.0,0.0269820.0,0.1379030.0,
0.1287210.0,0.0187810.0,0.1505050.0,
0.1328300.0,0.0171480.0,0.1522470.0,
0.1273740.0,0.0244560.0,0.1430170.0,
0.1360780.0,0.0113000.0,0.1668940.0,
0.1275320.0,0.0209970.0,0.1447080.0,
0.1291320.0,0.0200330.0,0.1460120.0,
0.1312040.0,0.0149670.0,0.1565840.0,
0.1356290.0,0.0106100.0,0.1650200.0,
0.1320020.0,0.0153520.0,0.1600940.0,
0.1365890.0,0.0081500.0,0.1699590.0,
0.1362900.0,0.0078490.0,0.1700640.0,
0.1361010.0,0.0079660.0,0.1688920.0,
0.1341640.0,0.0099010.0,0.1635900.0,
0.1379570.0,0.0058470.0,0.1708820.0,
0.1348140.0,0.0058030.0,0.1724660.0,
0.1360140.0,0.0026620.0,0.1747260.0,
0.1350310.0,0.0064820.0,0.1694000.0,
0.1363520.0,0.0054610.0,0.1731460.0,
0.1374640.0,0.0038620.0,0.1762460.0,
0.1379150.0,0.0053420.0,0.1726100.0,
0.1395570.0,0.0038170.0,0.1755070.0,
